Q1,Q2,Q3,Q4,Class
407,425,646,750,ALCHOOL
407,422,646,748,ALCHOOL
406,416,644,737,ALCHOOL
404,407,640,725,ALCHOOL
403,401,634,713,ALCHOOL
402,396,629,703,ALCHOOL
402,391,624,694,ALCHOOL
400,388,620,692,ALCHOOL
400,387,615,689,ALCHOOL
400,386,611,687,ALCHOOL
400,387,610,690,ALCHOOL
400,386,609,691,ALCHOOL
400,382,604,682,ALCHOOL
398,380,602,681,ALCHOOL
398,376,598,675,ALCHOOL
396,370,592,662,ALCHOOL
395,362,583,646,ALCHOOL
394,358,577,634,ALCHOOL
395,356,576,636,ALCHOOL
393,354,573,637,ALCHOOL
393,352,569,634,ALCHOOL
392,349,566,632,ALCHOOL
392,347,564,631,ALCHOOL
391,345,561,630,ALCHOOL
392,346,558,631,ALCHOOL
390,341,552,621,ALCHOOL
390,336,546,606,ALCHOOL
389,334,541,602,ALCHOOL
388,337,540,614,ALCHOOL
390,338,538,613,ALCHOOL
389,335,536,606,ALCHOOL
388,336,535,612,ALCHOOL
389,337,534,615,ALCHOOL
389,335,532,614,ALCHOOL
387,332,530,611,ALCHOOL
387,329,526,604,ALCHOOL
387,327,522,595,ALCHOOL
386,326,519,594,ALCHOOL
387,328,520,602,ALCHOOL
387,329,522,609,ALCHOOL
386,331,523,615,ALCHOOL
387,333,525,622,ALCHOOL
388,334,525,623,ALCHOOL
387,333,524,620,ALCHOOL
388,332,522,615,ALCHOOL
387,330,520,611,ALCHOOL
386,329,518,608,ALCHOOL
386,328,517,607,ALCHOOL
387,328,516,605,ALCHOOL
386,327,515,606,ALCHOOL
386,326,513,605,ALCHOOL
385,326,511,607,ALCHOOL
385,323,510,602,ALCHOOL
385,320,506,593,ALCHOOL
387,320,503,584,ALCHOOL
385,316,500,581,ALCHOOL
385,316,497,577,ALCHOOL
385,315,494,576,ALCHOOL
385,314,494,579,ALCHOOL
385,315,493,582,ALCHOOL
385,315,492,583,ALCHOOL
385,317,491,589,ALCHOOL
386,324,494,608,ALCHOOL
386,327,496,616,ALCHOOL
386,324,493,605,ALCHOOL
385,321,489,594,ALCHOOL
386,321,489,595,ALCHOOL
385,322,493,605,ALCHOOL
385,322,495,605,ALCHOOL
385,321,495,606,ALCHOOL
385,320,496,603,ALCHOOL
384,319,495,602,ALCHOOL
385,319,494,600,ALCHOOL
384,319,493,599,ALCHOOL
385,319,494,601,ALCHOOL
385,323,499,614,ALCHOOL
386,329,508,632,ALCHOOL
386,333,512,640,ALCHOOL
387,335,515,644,ALCHOOL
387,337,520,651,ALCHOOL
388,343,528,665,ALCHOOL
389,349,537,681,ALCHOOL
389,346,540,677,ALCHOOL
388,341,537,662,ALCHOOL
389,339,533,651,ALCHOOL
388,340,533,651,ALCHOOL
388,346,537,663,ALCHOOL
385,348,539,676,ALCHOOL
386,356,546,690,ALCHOOL
391,361,541,682,ALCHOOL
392,356,535,663,ALCHOOL
391,351,532,654,ALCHOOL
391,356,539,668,ALCHOOL
392,359,545,680,ALCHOOL
391,353,543,668,ALCHOOL
392,354,542,662,ALCHOOL
393,359,544,670,ALCHOOL
395,363,545,675,ALCHOOL
397,364,546,671,ALCHOOL
399,362,542,663,ALCHOOL
398,361,540,664,ALCHOOL
396,358,537,660,ALCHOOL
396,358,537,661,ALCHOOL
